,ClassName,Weapon
0,Hero,One Handed Sword
1,Hero,Two Handed Sword
2,Hero,One Handed Axe
3,Hero,Two Handed Axe
4,Luminous,Shining Rod
5,Xenon,Whip Blade
6,Battle Mage,Staff
7,Wild Hunter,Crossbow
8,Blaster,Arm Cannon
9,Shade,Knuckle
10,Mechanic,Gun
11,Phantom,Cane
12,Evan,Wand
13,Evan,Staff
14,Aran,Polearm
15,Mercedes,Dual Bowguns
16,Mihile,One Handed Sword
17,Blaze Wizard,Wand
18,Blaze Wizard,Staff
19,Zero,Long Sword
20,Wind Archer,Bow
21,Kinesis,Psy Limiter
22,Lara,Wand
23,Hoyoung,Buchae
24,Illium,Magic Gauntlet
25,Ark,Knuckle
26,Adele,Tuner
27,Hayato,Katana
28,Kanna,Fan
29,Kain,Whispershot
30,Cadena,Chain
31,Kaiser,Two Handed Sword
32,Angelic Buster,Soul Shooter
33,Demon Avenger,Desperado
34,Demon Slayer,One Handed Blunt Weapon
35,Demon Slayer,One Handed Axe
36,Thunder Breaker,Knuckle
37,Night Walker,Claw
38,Dawn Warrior,One Handed Sword
39,Dawn Warrior,Two Handed Sword
40,Corsair,Gun
41,Buccaneer,Knuckle
42,Cannoneer,Hand Cannon
43,Bowmaster,Bow
44,Marksman,Crossbow
45,Pathfinder,Ancient Bow
46,Night Lord,Claw
47,Shadower,Dagger
48,Dual Blade,Dagger
49,Paladin,One Handed Sword
50,Paladin,Two Handed Sword
51,Paladin,One Handed Blunt Weapon
52,Paladin,Two Handed Blunt Weapon
53,"Arch Mage (Fire, Poison)",Wand
54,"Arch Mage (Fire, Poison)",Staff
55,"Arch Mage (Ice, Lightning)",Wand
56,"Arch Mage (Ice, Lightning)",Staff
57,Bishop,Wand
58,Bishop,Staff
59,Dark Knight,Spear
60,Dark Knight,Polearm
