,EquipSet,ClassType,Set At,STR,DEX,LUK,INT,All Stats,Max HP,Max MP,Perc Max HP,Perc Max MP,Defense,Weapon Attack,Magic Attack,Ignored Enemy Defense,Boss Damage,Critical Damage,Damage,All Skills,Damage Against Normal Monsters,Abnormal Status Resistance
0,Seven Days,Any,2,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0
1,Dragon Tail,Magician,3,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
2,Dragon Tail,Magician,4,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,10
3,Dragon Tail,Magician,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2 Levels,0,0
4,Dragon Tail,Magician,6,0,0,0,0,0,0,0,0,0,0,0,30,0,30,0,0,0,0,0
5,Dragon Tail,Magician,7,0,0,0,0,0,0,0,15,15,0,0,10,0,0,0,0,0,0,0
6,Arcane Umbra,Magician,3,0,0,0,0,0,0,0,0,0,400,30,30,10,0,0,0,0,0,0
7,Arcane Umbra,Magician,4,0,0,0,0,50,0,0,0,0,0,35,35,0,10,0,0,0,0,0
8,Arcane Umbra,Magician,5,0,0,0,0,0,2000,2000,0,0,0,40,40,0,10,0,0,0,0,0
9,Arcane Umbra,Magician,6,0,0,0,0,0,0,0,30,30,0,30,30,0,0,0,0,0,0,0
10,Arcane Umbra,Magician,7,0,0,0,0,0,0,0,0,0,0,30,30,10,0,0,0,0,0,0
11,Root Abyss,Bowman,3,0,0,0,0,0,0,0,10,10,0,50,0,0,0,0,0,0,0,0
12,Root Abyss,Bowman,4,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0
13,AbsoLab,Bowman,3,0,0,0,0,30,0,0,0,0,0,20,20,0,10,0,0,0,0,0
14,AbsoLab,Bowman,4,0,0,0,0,0,0,0,0,0,200,25,25,10,0,0,0,0,0,0
15,AbsoLab,Bowman,5,0,0,0,0,0,0,0,0,0,0,30,30,0,10,0,0,0,0,0
16,AbsoLab,Bowman,6,0,0,0,0,0,0,0,20,20,0,20,20,0,0,0,0,0,0,0
17,AbsoLab,Bowman,7,0,0,0,0,0,0,0,0,0,0,20,20,10,0,0,0,0,0,0
18,Falcon Wing,Bowman,3,0,0,0,0,0,0,0,15,15,0,0,0,0,0,0,0,0,0,0
19,Falcon Wing,Bowman,4,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,10
20,Falcon Wing,Bowman,5,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,2 Levels,0,0
21,Falcon Wing,Bowman,6,0,0,0,0,0,0,0,0,0,0,30,0,0,30,0,0,0,0,0
22,Falcon Wing,Bowman,7,0,0,0,0,0,0,0,15,15,0,10,0,0,0,0,0,0,0,0
