,Slot,Grade,Prime,DisplayStat,MinLvl,MaxLvl,Probaility,1 in
0,Hat,Rare,Non prime,STR Increase,0,300,7.4074%,13.5
1,Hat,Rare,Non prime,DEX Increase,0,300,7.4074%,13.5
2,Hat,Rare,Non prime,INT Increase,0,300,7.4074%,13.5
3,Hat,Rare,Non prime,LUK Increase,0,300,7.4074%,13.5
4,Hat,Rare,Non prime,Weapon ATT Increase,0,300,7.4074%,13.5
5,Hat,Rare,Non prime,Magic ATT Increase,0,300,7.4074%,13.5
6,Hat,Rare,Non prime,Speed Increase,0,300,11.1111%,9
7,Hat,Rare,Non prime,Jump Increase,0,300,11.1111%,9
8,Hat,Rare,Non prime,MaxHP Increase,0,300,11.1111%,9
9,Hat,Rare,Non prime,MaxMP Increase,0,300,11.1111%,9
10,Hat,Rare,Non prime,DEF Increase,0,300,11.1111%,9
11,Hat,Rare,Prime,STR Increase,0,300,6.3829%,15.6666
12,Hat,Rare,Prime,DEX Increase,0,300,6.3829%,15.6666
13,Hat,Rare,Prime,INT Increase,0,300,6.3829%,15.6666
14,Hat,Rare,Prime,LUK Increase,0,300,6.3829%,15.6666
15,Hat,Rare,Prime,Weapon ATT Increase,0,300,4.2553%,23.5
16,Hat,Rare,Prime,Magic ATT Increase,0,300,4.2553%,23.5
17,Hat,Rare,Prime,MaxHP Increase,0,300,6.3829%,15.6666
18,Hat,Rare,Prime,MaxMP Increase,0,300,6.3829%,15.6666
19,Hat,Rare,Prime,DEF Increase,0,300,6.3829%,15.6666
20,Hat,Rare,Prime,Speed Increase,0,300,6.3829%,15.6666
21,Hat,Rare,Prime,Jump Increase,0,300,6.3829%,15.6666
22,Hat,Rare,Prime,STR% Increase,0,300,4.2553%,23.5
23,Hat,Rare,Prime,DEX% Increase,0,300,4.2553%,23.5
24,Hat,Rare,Prime,INT% Increase,0,300,4.2553%,23.5
25,Hat,Rare,Prime,LUK% Increase,0,300,4.2553%,23.5
26,Hat,Rare,Prime,DEF% Increase,0,300,4.2553%,23.5
27,Hat,Rare,Prime,MaxHP% Increase,0,300,4.2553%,23.5
28,Hat,Rare,Prime,MaxMP% Increase,0,300,4.2553%,23.5
29,Hat,Rare,Prime,All Stats Increase,0,300,4.2553%,23.5
30,Hat,Epic,Prime,STR Increase,0,300,6%,16.6666
31,Hat,Epic,Prime,DEX Increase,0,300,6%,16.6666
32,Hat,Epic,Prime,INT Increase,0,300,6%,16.6666
33,Hat,Epic,Prime,LUK Increase,0,300,6%,16.6666
34,Hat,Epic,Prime,Weapon ATT Increase,0,300,4%,25
35,Hat,Epic,Prime,Magic ATT Increase,0,300,4%,25
36,Hat,Epic,Prime,MaxHP Increase,0,300,6%,16.6666
37,Hat,Epic,Prime,MaxMP Increase,0,300,6%,16.6666
38,Hat,Epic,Prime,DEF Increase,0,300,6%,16.6666
39,Hat,Epic,Prime,Speed Increase,0,300,6%,16.6666
40,Hat,Epic,Prime,Jump Increase,0,300,6%,16.6666
