,Slot,Grade,Prime,DisplayStat,StatT,MinLvl,MaxLvl,Stat value,Chance
0,Hat,Rare,Non prime,STR Increase,Flat,0,20,1,0
1,Hat,Rare,Non prime,STR Increase,Flat,21,40,2,0
2,Hat,Rare,Non prime,STR Increase,Flat,41,50,3,0
3,Hat,Rare,Non prime,STR Increase,Flat,51,70,4,0
4,Hat,Rare,Non prime,STR Increase,Flat,71,90,5,0
5,Hat,Rare,Non prime,STR Increase,Flat,91,300,6,0
6,Hat,Rare,Non prime,DEX Increase,Flat,0,20,1,0
7,Hat,Rare,Non prime,DEX Increase,Flat,21,40,2,0
8,Hat,Rare,Non prime,DEX Increase,Flat,41,50,3,0
9,Hat,Rare,Non prime,DEX Increase,Flat,51,70,4,0
10,Hat,Rare,Non prime,DEX Increase,Flat,71,90,5,0
11,Hat,Rare,Non prime,DEX Increase,Flat,91,300,6,0
12,Hat,Rare,Non prime,INT Increase,Flat,0,20,1,0
13,Hat,Rare,Non prime,INT Increase,Flat,21,40,2,0
14,Hat,Rare,Non prime,INT Increase,Flat,41,50,3,0
15,Hat,Rare,Non prime,INT Increase,Flat,51,70,4,0
16,Hat,Rare,Non prime,INT Increase,Flat,71,90,5,0
17,Hat,Rare,Non prime,INT Increase,Flat,91,300,6,0
18,Hat,Rare,Non prime,LUK Increase,Flat,0,20,1,0
19,Hat,Rare,Non prime,LUK Increase,Flat,21,40,2,0
20,Hat,Rare,Non prime,LUK Increase,Flat,41,50,3,0
21,Hat,Rare,Non prime,LUK Increase,Flat,51,70,4,0
22,Hat,Rare,Non prime,LUK Increase,Flat,71,90,5,0
23,Hat,Rare,Non prime,LUK Increase,Flat,91,300,6,0
24,Hat,Rare,Non prime,Weapon ATT Increase,Flat,0,50,1,0
25,Hat,Rare,Non prime,Weapon ATT Increase,Flat,51,100,2,0
26,Hat,Rare,Non prime,Weapon ATT Increase,Flat,101,300,3,0
27,Hat,Rare,Non prime,Magic ATT Increase,Flat,0,50,1,0
28,Hat,Rare,Non prime,Magic ATT Increase,Flat,51,100,2,0
29,Hat,Rare,Non prime,Magic ATT Increase,Flat,101,300,3,0
30,Hat,Rare,Non prime,Speed Increase,Flat,0,30,1,0
31,Hat,Rare,Non prime,Speed Increase,Flat,31,70,2,0
