,EquipGrp,EquipType,Stat,MinLvl,MaxLvl,Tier 1,Tier 2,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7
0,Common,Common,Main Stats,0,19,1,2,3,4,5,6,7
1,Common,Common,Main Stats,20,39,2,4,6,8,10,12,14
2,Common,Common,Main Stats,40,59,3,6,9,12,15,18,21
3,Common,Common,Main Stats,60,79,4,8,12,16,20,24,28
4,Common,Common,Main Stats,80,99,5,10,15,20,25,30,35
5,Common,Common,Main Stats,100,119,6,12,18,24,30,36,42
6,Common,Common,Main Stats,120,139,7,14,21,28,35,42,49
7,Common,Common,Main Stats,140,159,8,16,24,32,40,48,56
8,Common,Common,Main Stats,160,179,9,18,27,36,45,54,63
9,Common,Common,Main Stats,180,199,10,20,30,40,50,60,70
10,Common,Common,Main Stats,200,219,11,22,33,44,55,66,77
11,Common,Common,Main Stats,220,239,12,24,36,48,60,72,84
12,Common,Common,Main Stats,240,259,13,26,39,52,65,78,91
13,Common,Common,Main Stats,260,275,14,28,42,56,70,84,98
14,Common,Common,Mixed Stats,0,39,1,2,3,4,5,6,7
15,Common,Common,Mixed Stats,40,79,2,4,6,8,10,12,14
16,Common,Common,Mixed Stats,80,119,3,6,9,12,15,18,21
17,Common,Common,Mixed Stats,120,159,4,8,12,16,20,24,28
18,Common,Common,Mixed Stats,160,199,5,10,15,20,25,30,35
19,Common,Common,Mixed Stats,200,239,6,12,18,24,30,36,42
20,Common,Common,Mixed Stats,240,275,7,14,21,28,35,42,49
21,Non-weapons,Common,Attack Power,60,300,1,2,3,4,5,6,7
22,Weapons,Normal,Attack Power,0,39,1,2.2,3.63,5.324,7.3205,8.7846,10.2487
23,Weapons,Normal,Attack Power,40,79,2,4.4,7.26,10.648,14.641,17.5692,20.4974
24,Weapons,Normal,Attack Power,80,119,3,6.6,10.89,15.972,21.9615,26.3538,30.7461
25,Weapons,Normal,Attack Power,120,159,4,8.8,14.52,21.296,29.282,35.1384,40.9948
26,Weapons,Normal,Attack Power,160,199,5,11,18.15,26.62,36.6025,43.923,51.2435
27,Weapons,Normal,Attack Power,200,239,6,13.2,21.78,31.944,43.923,52.7076,61.4922
28,Weapons,Normal,Attack Power,240,275,7,15.4,25.41,37.268,51.2435,61.4922,71.7409
29,Weapons,Special,Attack Power,0,39,,,3,4.4,6.05,7.986,10.2487
30,Weapons,Special,Attack Power,40,79,,,6,8.8,12.1,15.972,20.4974
31,Weapons,Special,Attack Power,80,119,,,9,13.2,18.15,23.958,30.7461
