,Slot,Grade,Prime,DisplayStat,StatT,MinLvl,MaxLvl,Stat value,Chance,Tick,CubeType
0,Hat,Rare,Non prime,STR Increase,Flat,0,20,1,0,0,0
1,Hat,Rare,Non prime,STR Increase,Flat,21,40,2,0,0,0
2,Hat,Rare,Non prime,STR Increase,Flat,41,50,3,0,0,0
3,Hat,Rare,Non prime,STR Increase,Flat,51,70,4,0,0,0
4,Hat,Rare,Non prime,STR Increase,Flat,71,90,5,0,0,0
5,Hat,Rare,Non prime,STR Increase,Flat,91,300,6,0,0,0
6,Hat,Rare,Non prime,DEX Increase,Flat,0,20,1,0,0,0
7,Hat,Rare,Non prime,DEX Increase,Flat,21,40,2,0,0,0
8,Hat,Rare,Non prime,DEX Increase,Flat,41,50,3,0,0,0
9,Hat,Rare,Non prime,DEX Increase,Flat,51,70,4,0,0,0
10,Hat,Rare,Non prime,DEX Increase,Flat,71,90,5,0,0,0
11,Hat,Rare,Non prime,DEX Increase,Flat,91,300,6,0,0,0
12,Hat,Rare,Non prime,INT Increase,Flat,0,20,1,0,0,0
13,Hat,Rare,Non prime,INT Increase,Flat,21,40,2,0,0,0
14,Hat,Rare,Non prime,INT Increase,Flat,41,50,3,0,0,0
15,Hat,Rare,Non prime,INT Increase,Flat,51,70,4,0,0,0
16,Hat,Rare,Non prime,INT Increase,Flat,71,90,5,0,0,0
17,Hat,Rare,Non prime,INT Increase,Flat,91,300,6,0,0,0
18,Hat,Rare,Non prime,LUK Increase,Flat,0,20,1,0,0,0
19,Hat,Rare,Non prime,LUK Increase,Flat,21,40,2,0,0,0
20,Hat,Rare,Non prime,LUK Increase,Flat,41,50,3,0,0,0
21,Hat,Rare,Non prime,LUK Increase,Flat,51,70,4,0,0,0
22,Hat,Rare,Non prime,LUK Increase,Flat,71,90,5,0,0,0
23,Hat,Rare,Non prime,LUK Increase,Flat,91,300,6,0,0,0
24,Hat,Rare,Non prime,MaxHP Increase,Flat,0,10,5,0,0,0
25,Hat,Rare,Non prime,MaxHP Increase,Flat,11,20,10,0,0,0
26,Hat,Rare,Non prime,MaxHP Increase,Flat,21,30,15,0,0,0
27,Hat,Rare,Non prime,MaxHP Increase,Flat,31,40,20,0,0,0
28,Hat,Rare,Non prime,MaxHP Increase,Flat,41,50,25,0,0,0
29,Hat,Rare,Non prime,MaxHP Increase,Flat,51,60,30,0,0,0
30,Hat,Rare,Non prime,MaxHP Increase,Flat,61,70,35,0,0,0
31,Hat,Rare,Non prime,MaxHP Increase,Flat,71,80,40,0,0,0
32,Hat,Rare,Non prime,MaxHP Increase,Flat,81,90,45,0,0,0
33,Hat,Rare,Non prime,MaxHP Increase,Flat,91,100,50,0,0,0
34,Hat,Rare,Non prime,MaxHP Increase,Flat,101,110,55,0,0,0
35,Hat,Rare,Non prime,MaxHP Increase,Flat,111,300,60,0,0,0
36,Hat,Rare,Non prime,MaxMP Increase,Flat,0,10,5,0,0,0
37,Hat,Rare,Non prime,MaxMP Increase,Flat,11,20,10,0,0,0
38,Hat,Rare,Non prime,MaxMP Increase,Flat,21,30,15,0,0,0
39,Hat,Rare,Non prime,MaxMP Increase,Flat,31,40,20,0,0,0
40,Hat,Rare,Non prime,MaxMP Increase,Flat,41,50,25,0,0,0
41,Hat,Rare,Non prime,MaxMP Increase,Flat,51,60,30,0,0,0
42,Hat,Rare,Non prime,MaxMP Increase,Flat,61,70,35,0,0,0
43,Hat,Rare,Non prime,MaxMP Increase,Flat,71,80,40,0,0,0
44,Hat,Rare,Non prime,MaxMP Increase,Flat,81,90,45,0,0,0
45,Hat,Rare,Non prime,MaxMP Increase,Flat,91,100,50,0,0,0
46,Hat,Rare,Non prime,MaxMP Increase,Flat,101,110,55,0,0,0
47,Hat,Rare,Non prime,MaxMP Increase,Flat,111,300,60,0,0,0
48,Hat,Rare,Non prime,DEF Increase,Flat,0,10,5,0,0,0
49,Hat,Rare,Non prime,DEF Increase,Flat,11,20,10,0,0,0
50,Hat,Rare,Non prime,DEF Increase,Flat,21,30,15,0,0,0
51,Hat,Rare,Non prime,DEF Increase,Flat,31,40,20,0,0,0
52,Hat,Rare,Non prime,DEF Increase,Flat,41,50,25,0,0,0
53,Hat,Rare,Non prime,DEF Increase,Flat,51,60,30,0,0,0
54,Hat,Rare,Non prime,DEF Increase,Flat,61,70,35,0,0,0
55,Hat,Rare,Non prime,DEF Increase,Flat,71,80,40,0,0,0
56,Hat,Rare,Non prime,DEF Increase,Flat,81,90,45,0,0,0
57,Hat,Rare,Non prime,DEF Increase,Flat,91,100,50,0,0,0
58,Hat,Rare,Non prime,DEF Increase,Flat,101,110,55,0,0,0
59,Hat,Rare,Non prime,DEF Increase,Flat,111,300,60,0,0,0
60,Hat,Rare,Non prime,10% chance to show rage for 10 seconds when being attacked,Flat,0,300,10,10,0,0
61,Hat,Rare,Non prime,10% chance to show happy for 10 seconds when being attacked,Flat,0,300,10,10,0,0
62,Hat,Rare,Non prime,10% chance to fall in love for 10 seconds when being attacked,Flat,0,300,10,10,0,0
63,Hat,Rare,Non prime,10% chance to feel deeply moved for 10 seconds when being attacked,Flat,0,300,10,10,0,0
64,Hat,Rare,Non prime,10% chance to show angry for 10 seconds when being attacked,Flat,0,300,10,10,0,0
65,Hat,Rare,Prime,STR Increase,Flat,0,20,2,0,0,0
66,Hat,Rare,Prime,STR Increase,Flat,21,40,4,0,0,0
67,Hat,Rare,Prime,STR Increase,Flat,41,50,6,0,0,0
68,Hat,Rare,Prime,STR Increase,Flat,51,70,8,0,0,0
69,Hat,Rare,Prime,STR Increase,Flat,71,90,10,0,0,0
70,Hat,Rare,Prime,STR Increase,Flat,91,300,12,0,0,0
71,Hat,Rare,Prime,DEX Increase,Flat,0,20,2,0,0,0
72,Hat,Rare,Prime,DEX Increase,Flat,21,40,4,0,0,0
73,Hat,Rare,Prime,DEX Increase,Flat,41,50,6,0,0,0
74,Hat,Rare,Prime,DEX Increase,Flat,51,70,8,0,0,0
75,Hat,Rare,Prime,DEX Increase,Flat,71,90,10,0,0,0
76,Hat,Rare,Prime,DEX Increase,Flat,91,300,12,0,0,0
77,Hat,Rare,Prime,INT Increase,Flat,0,20,2,0,0,0
78,Hat,Rare,Prime,INT Increase,Flat,21,40,4,0,0,0
79,Hat,Rare,Prime,INT Increase,Flat,41,50,6,0,0,0
80,Hat,Rare,Prime,INT Increase,Flat,51,70,8,0,0,0
81,Hat,Rare,Prime,INT Increase,Flat,71,90,10,0,0,0
82,Hat,Rare,Prime,INT Increase,Flat,91,300,12,0,0,0
83,Hat,Rare,Prime,LUK Increase,Flat,0,20,2,0,0,0
84,Hat,Rare,Prime,LUK Increase,Flat,21,40,4,0,0,0
85,Hat,Rare,Prime,LUK Increase,Flat,41,50,6,0,0,0
86,Hat,Rare,Prime,LUK Increase,Flat,51,70,8,0,0,0
87,Hat,Rare,Prime,LUK Increase,Flat,71,90,10,0,0,0
88,Hat,Rare,Prime,LUK Increase,Flat,91,300,12,0,0,0
89,Hat,Rare,Prime,MaxHP Increase,Flat,0,10,10,0,0,0
90,Hat,Rare,Prime,MaxHP Increase,Flat,11,20,20,0,0,0
91,Hat,Rare,Prime,MaxHP Increase,Flat,21,30,30,0,0,0
92,Hat,Rare,Prime,MaxHP Increase,Flat,31,40,40,0,0,0
93,Hat,Rare,Prime,MaxHP Increase,Flat,41,50,50,0,0,0
94,Hat,Rare,Prime,MaxHP Increase,Flat,51,60,60,0,0,0
95,Hat,Rare,Prime,MaxHP Increase,Flat,61,70,70,0,0,0
96,Hat,Rare,Prime,MaxHP Increase,Flat,71,80,80,0,0,0
97,Hat,Rare,Prime,MaxHP Increase,Flat,81,90,90,0,0,0
98,Hat,Rare,Prime,MaxHP Increase,Flat,91,100,100,0,0,0
99,Hat,Rare,Prime,MaxHP Increase,Flat,101,110,110,0,0,0
100,Hat,Rare,Prime,MaxHP Increase,Flat,111,300,120,0,0,0
101,Hat,Rare,Prime,MaxMP Increase,Flat,0,10,10,0,0,0
102,Hat,Rare,Prime,MaxMP Increase,Flat,11,20,20,0,0,0
103,Hat,Rare,Prime,MaxMP Increase,Flat,21,30,30,0,0,0
104,Hat,Rare,Prime,MaxMP Increase,Flat,31,40,40,0,0,0
105,Hat,Rare,Prime,MaxMP Increase,Flat,41,50,50,0,0,0
106,Hat,Rare,Prime,MaxMP Increase,Flat,51,60,60,0,0,0
107,Hat,Rare,Prime,MaxMP Increase,Flat,61,70,70,0,0,0
108,Hat,Rare,Prime,MaxMP Increase,Flat,71,80,80,0,0,0
109,Hat,Rare,Prime,MaxMP Increase,Flat,81,90,90,0,0,0
110,Hat,Rare,Prime,MaxMP Increase,Flat,91,100,100,0,0,0
111,Hat,Rare,Prime,MaxMP Increase,Flat,101,110,110,0,0,0
112,Hat,Rare,Prime,MaxMP Increase,Flat,111,300,120,0,0,0
113,Hat,Rare,Prime,DEF Increase,Flat,0,10,10,0,0,0
114,Hat,Rare,Prime,DEF Increase,Flat,11,20,20,0,0,0
115,Hat,Rare,Prime,DEF Increase,Flat,21,30,30,0,0,0
116,Hat,Rare,Prime,DEF Increase,Flat,31,40,40,0,0,0
117,Hat,Rare,Prime,DEF Increase,Flat,41,50,50,0,0,0
118,Hat,Rare,Prime,DEF Increase,Flat,51,60,60,0,0,0
119,Hat,Rare,Prime,DEF Increase,Flat,61,70,70,0,0,0
120,Hat,Rare,Prime,DEF Increase,Flat,71,80,80,0,0,0
121,Hat,Rare,Prime,DEF Increase,Flat,81,90,90,0,0,0
122,Hat,Rare,Prime,DEF Increase,Flat,91,100,100,0,0,0
123,Hat,Rare,Prime,DEF Increase,Flat,101,110,110,0,0,0
124,Hat,Rare,Prime,DEF Increase,Flat,111,300,120,0,0,0
125,Hat,Rare,Prime,STR% Increase,Perc,0,30,1,0,0,0
126,Hat,Rare,Prime,STR% Increase,Perc,31,70,2,0,0,0
127,Hat,Rare,Prime,STR% Increase,Perc,71,300,3,0,0,0
128,Hat,Rare,Prime,DEX% Increase,Perc,0,30,1,0,0,0
129,Hat,Rare,Prime,DEX% Increase,Perc,31,70,2,0,0,0
