,ClassName,Secondary
0,Hero,Medallion
1,Hero,Shield
2,Blaze Wizard,Jewel
3,Night Walker,Jewel
4,Wind Archer,Jewel
5,Corsair,Far Sight
6,Buccaneer,Wrist Band
7,Thunder Breaker,Jewel
8,Dawn Warrior,Jewel
9,Dawn Warrior,Shield
10,Cannoneer,Powder Keg
11,Marksman,Bow Thimnble
12,Bowmaster,Arrow Fletching
13,Pathfinder,Relic
14,Zero,Heavy Sword
15,Night Lord,Charm
16,Dual Blade,Katara
17,Shadower,Dagger Scabbard
18,Shadower,Shield
19,Hoyoung,Fan Tassel
20,Lara,Ornament
21,Kinesis,Chess Piece
22,Illium,Magic Wing
23,Ark,Abyssal Path
24,Adele,Bracelet
25,Hayato,Kodachi
26,Kanna,Fan
27,Kain,Weapon Belt
28,Cadena,Warp  Forge
29,Kaiser,Dragon Essence
30,Angelic Buster,Soul Ring
31,Demon Avenger,Demon Aegis
32,Demon Slayer,Demon Aegis
33,Xenon,Core Controller
34,Wild Hunter,Arrow Head
35,Battle Mage,Shield
36,Battle Mage,Magic Marble
37,Mechanic,Magnum
38,Blaster,Charge
39,Shade,Fox Marble
40,Evan,Shield
41,Evan,Document
42,Luminous,Orb
43,Phantom,Card
44,Mercedes,Magic Arrow
45,Aran,Mass
46,Arch Mage (Fire Poison),Shield
47,Arch Mage (Fire Poison),Magic Book
48,Mihile,Soul Shield
49,Bishop,Shield
50,Bishop,Magic Book
51,Arch Mage (Ice Lightning),Shield
52,Arch Mage (Ice Lightning),Magic Book
53,Dark Knight,Iron Chain
54,Paladin,Rosary
55,Paladin,Shield
