,EquipSet,ClassType,Set At,STR,DEX,INT,LUK,All Stats,Max HP,Max MP,Perc Max HP,Perc Max MP,Defense,Weapon Attack,Magic Attack,Ignored Enemy Defense,Boss Damage,Critical Damage,Damage,All Skills,Damage Against Normal Monsters,Abnormal Status Resistance
0,Root Abyss,Warrior,2,20,20,0,0,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0
1,Root Abyss,Warrior,3,20,20,0,0,0,1000,1000,10,10,0,50,0,0,0,0,0,0,0,0
2,Root Abyss,Warrior,4,20,20,0,0,0,1000,1000,10,10,0,50,0,0,30,0,0,0,0,0
3,Root Abyss,Magician,2,0,0,20,20,0,1000,1000,0,0,0,0,0,0,0,0,0,0,0,0
4,Root Abyss,Magician,3,0,0,20,20,0,1000,1000,10,10,0,0,50,0,0,0,0,0,0,0
5,Root Abyss,Magician,4,0,0,20,20,0,1000,1000,10,10,0,0,50,0,30,0,0,0,0,0
6,8th,Magician,2,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
7,8th,Magician,3,0,0,0,0,0,0,0,9,9,140,0,0,0,0,0,0,0,+2,0
8,8th,Magician,4,0,0,9,0,0,0,0,9,9,140,0,9,0,0,0,0,0,+6,0
9,8th,Magician,5,0,0,9,0,15,0,0,9,9,390,0,9,10,0,0,0,0,+12,0
10,8th,Magician,6,0,0,9,0,15,0,0,9,9,390,10,19,19,0,0,0,0,+20,0
11,AbsoLab,Warrior,2,0,0,0,0,0,1500,1500,0,0,0,20,20,0,10,0,0,0,0,0
12,AbsoLab,Warrior,3,0,0,0,0,30,1500,1500,0,0,0,40,40,0,20,0,0,0,0,0
13,AbsoLab,Warrior,4,0,0,0,0,30,1500,1500,0,0,200,65,65,10,20,0,0,0,0,0
14,AbsoLab,Warrior,5,0,0,0,0,30,1500,1500,0,0,200,95,95,10,30,0,0,0,0,0
15,AbsoLab,Warrior,6,0,0,0,0,30,1500,1500,20,20,200,115,115,10,30,0,0,0,0,0
16,AbsoLab,Warrior,7,0,0,0,0,30,1500,1500,20,20,200,135,135,19,30,0,0,0,0,0
17,Dragon Tail,Magician,2,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
18,Dragon Tail,Magician,3,0,0,0,0,0,0,0,15,15,300,0,0,0,0,0,0,0,0,0
19,Dragon Tail,Magician,4,0,0,0,0,0,0,0,15,15,300,0,15,0,0,0,0,0,0,10
20,Dragon Tail,Magician,5,0,0,0,0,20,0,0,15,15,300,0,15,0,0,0,0,2 Levels,0,10
21,Dragon Tail,Magician,6,0,0,0,0,20,0,0,15,15,300,0,45,0,30,0,0,2 Levels,0,10
22,Dragon Tail,Magician,7,0,0,0,0,20,0,0,30,30,300,0,55,0,30,0,0,2 Levels,0,10
23,AbsoLab,Magician,2,0,0,0,0,0,1500,1500,0,0,0,20,20,0,10,0,0,0,0,0
24,AbsoLab,Magician,3,0,0,0,0,30,1500,1500,0,0,0,40,40,0,20,0,0,0,0,0
25,AbsoLab,Magician,4,0,0,0,0,30,1500,1500,0,0,200,65,65,10,20,0,0,0,0,0
26,AbsoLab,Magician,5,0,0,0,0,30,1500,1500,0,0,200,95,95,10,30,0,0,0,0,0
27,AbsoLab,Magician,6,0,0,0,0,30,1500,1500,20,20,200,115,115,10,30,0,0,0,0,0
28,AbsoLab,Magician,7,0,0,0,0,30,1500,1500,20,20,200,135,135,19,30,0,0,0,0,0
29,Eternal,Warrior,2,0,0,0,0,0,2500,2500,0,0,0,40,40,0,10,0,0,0,0,0
30,Eternal,Warrior,3,0,0,0,0,50,2500,2500,0,0,600,80,80,0,20,0,0,0,0,0
31,Eternal,Warrior,4,0,0,0,0,50,2500,2500,15,15,600,120,120,0,30,0,0,0,0,0
32,Lionheart,Warrior,2,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0
33,Lionheart,Warrior,3,0,0,0,0,0,0,0,15,15,300,0,0,0,0,0,0,0,0,0
34,Lionheart,Warrior,4,0,0,0,0,0,0,0,15,15,300,15,0,0,0,0,0,0,0,10
35,Lionheart,Warrior,5,0,0,0,0,20,0,0,15,15,300,15,0,0,0,0,0,2 Levels,0,10
36,Lionheart,Warrior,6,0,0,0,0,20,0,0,15,15,300,45,0,0,30,0,0,2 Levels,0,10
37,Lionheart,Warrior,7,0,0,0,0,20,0,0,30,30,300,55,0,0,30,0,0,2 Levels,0,10
38,Arcane Umbra,Warrior,2,0,0,0,0,0,0,0,0,0,0,30,30,0,10,0,0,0,0,0
39,Arcane Umbra,Warrior,3,0,0,0,0,0,0,0,0,0,400,60,60,10,10,0,0,0,0,0
40,Arcane Umbra,Warrior,4,0,0,0,0,50,0,0,0,0,400,95,95,10,20,0,0,0,0,0
41,Arcane Umbra,Warrior,5,0,0,0,0,50,2000,2000,0,0,200,135,135,10,30,0,0,0,0,0
42,Arcane Umbra,Warrior,6,0,0,0,0,50,2000,2000,30,30,400,165,165,10,30,0,0,0,0,0
43,Arcane Umbra,Warrior,7,0,0,0,0,50,2000,2000,30,30,400,195,195,19,30,0,0,0,0,0
44,8th,Warrior,2,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,0
45,8th,Warrior,3,0,0,0,0,0,0,0,9,9,140,0,0,0,0,0,0,0,+2,0
