,Slot,Type,Grade,Prime,DisplayStat,Stat,StatT,MinLvl,MaxLvl,Stat value,Duration,Chance
0,Hat,Bonus,Rare,Non prime,STR Increase,STR Increase,Flat,0,20,1,0.0,0.0
1,Hat,Bonus,Rare,Non prime,STR Increase,STR Increase,Flat,21,40,2,0.0,0.0
2,Hat,Bonus,Rare,Non prime,STR Increase,STR Increase,Flat,41,50,3,0.0,0.0
3,Hat,Bonus,Rare,Non prime,STR Increase,STR Increase,Flat,51,70,4,0.0,0.0
4,Hat,Bonus,Rare,Non prime,STR Increase,STR Increase,Flat,71,90,5,0.0,0.0
5,Hat,Bonus,Rare,Non prime,STR Increase,STR Increase,Flat,91,300,6,0.0,0.0
6,Hat,Bonus,Rare,Non prime,DEX Increase,DEX Increase,Flat,0,20,1,0.0,0.0
7,Hat,Bonus,Rare,Non prime,DEX Increase,DEX Increase,Flat,21,40,2,0.0,0.0
8,Hat,Bonus,Rare,Non prime,DEX Increase,DEX Increase,Flat,41,50,3,0.0,0.0
9,Hat,Bonus,Rare,Non prime,DEX Increase,DEX Increase,Flat,51,70,4,0.0,0.0
10,Hat,Bonus,Rare,Non prime,DEX Increase,DEX Increase,Flat,71,90,5,0.0,0.0
11,Hat,Bonus,Rare,Non prime,DEX Increase,DEX Increase,Flat,91,300,6,0.0,0.0
12,Hat,Bonus,Rare,Non prime,INT Increase,INT Increase,Flat,0,20,1,0.0,0.0
13,Hat,Bonus,Rare,Non prime,INT Increase,INT Increase,Flat,21,40,2,0.0,0.0
14,Hat,Bonus,Rare,Non prime,INT Increase,INT Increase,Flat,41,50,3,0.0,0.0
15,Hat,Bonus,Rare,Non prime,INT Increase,INT Increase,Flat,51,70,4,0.0,0.0
16,Hat,Bonus,Rare,Non prime,INT Increase,INT Increase,Flat,71,90,5,0.0,0.0
17,Hat,Bonus,Rare,Non prime,INT Increase,INT Increase,Flat,91,300,6,0.0,0.0
18,Hat,Bonus,Rare,Non prime,LUK Increase,LUK Increase,Flat,0,20,1,0.0,0.0
19,Hat,Bonus,Rare,Non prime,LUK Increase,LUK Increase,Flat,21,40,2,0.0,0.0
20,Hat,Bonus,Rare,Non prime,LUK Increase,LUK Increase,Flat,41,50,3,0.0,0.0
21,Hat,Bonus,Rare,Non prime,LUK Increase,LUK Increase,Flat,51,70,4,0.0,0.0
22,Hat,Bonus,Rare,Non prime,LUK Increase,LUK Increase,Flat,71,90,5,0.0,0.0
23,Hat,Bonus,Rare,Non prime,LUK Increase,LUK Increase,Flat,91,300,6,0.0,0.0
24,Hat,Bonus,Rare,Non prime,Weapon ATT Increase,Weapon ATT Increase,Flat,0,50,1,0.0,0.0
25,Hat,Bonus,Rare,Non prime,Weapon ATT Increase,Weapon ATT Increase,Flat,51,100,2,0.0,0.0
26,Hat,Bonus,Rare,Non prime,Weapon ATT Increase,Weapon ATT Increase,Flat,101,300,3,0.0,0.0
27,Hat,Bonus,Rare,Non prime,Magic ATT Increase,Magic ATT Increase,Flat,0,50,1,0.0,0.0
28,Hat,Bonus,Rare,Non prime,Magic ATT Increase,Magic ATT Increase,Flat,51,100,2,0.0,0.0
29,Hat,Bonus,Rare,Non prime,Magic ATT Increase,Magic ATT Increase,Flat,101,300,3,0.0,0.0
30,Hat,Bonus,Rare,Non prime,Speed Increase,Speed Increase,Flat,0,30,1,0.0,0.0
31,Hat,Bonus,Rare,Non prime,Speed Increase,Speed Increase,Flat,31,70,2,0.0,0.0
32,Hat,Bonus,Rare,Non prime,Speed Increase,Speed Increase,Flat,71,110,3,0.0,0.0
33,Hat,Bonus,Rare,Non prime,Speed Increase,Speed Increase,Flat,111,300,4,0.0,0.0
34,Hat,Bonus,Rare,Non prime,Jump Increase,Jump Increase,Flat,0,30,1,0.0,0.0
35,Hat,Bonus,Rare,Non prime,Jump Increase,Jump Increase,Flat,31,70,2,0.0,0.0
36,Hat,Bonus,Rare,Non prime,Jump Increase,Jump Increase,Flat,71,110,3,0.0,0.0
37,Hat,Bonus,Rare,Non prime,Jump Increase,Jump Increase,Flat,111,300,4,0.0,0.0
38,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,0,10,5,0.0,0.0
39,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,11,20,10,0.0,0.0
40,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,21,30,15,0.0,0.0
41,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,31,40,20,0.0,0.0
42,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,41,50,25,0.0,0.0
43,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,51,60,30,0.0,0.0
44,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,61,70,35,0.0,0.0
45,Hat,Bonus,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,71,80,40,0.0,0.0
