,Slot,Type,Grade,Prime,DisplayStat,Stat,StatT,MinLvl,MaxLvl,Stat value,Chance,Duration,Reflect damage,Tick,CubeType
0,Hat,Potential,Rare,Non prime,STR Increase,STR Increase,Flat,0,20,1,0,0.0,0,0.0,0
1,Hat,Potential,Rare,Non prime,STR Increase,STR Increase,Flat,21,40,2,0,0.0,0,0.0,0
2,Hat,Potential,Rare,Non prime,STR Increase,STR Increase,Flat,41,50,3,0,0.0,0,0.0,0
3,Hat,Potential,Rare,Non prime,STR Increase,STR Increase,Flat,51,70,4,0,0.0,0,0.0,0
4,Hat,Potential,Rare,Non prime,STR Increase,STR Increase,Flat,71,90,5,0,0.0,0,0.0,0
5,Hat,Potential,Rare,Non prime,STR Increase,STR Increase,Flat,91,300,6,0,0.0,0,0.0,0
6,Hat,Potential,Rare,Non prime,DEX Increase,DEX Increase,Flat,0,20,1,0,0.0,0,0.0,0
7,Hat,Potential,Rare,Non prime,DEX Increase,DEX Increase,Flat,21,40,2,0,0.0,0,0.0,0
8,Hat,Potential,Rare,Non prime,DEX Increase,DEX Increase,Flat,41,50,3,0,0.0,0,0.0,0
9,Hat,Potential,Rare,Non prime,DEX Increase,DEX Increase,Flat,51,70,4,0,0.0,0,0.0,0
10,Hat,Potential,Rare,Non prime,DEX Increase,DEX Increase,Flat,71,90,5,0,0.0,0,0.0,0
11,Hat,Potential,Rare,Non prime,DEX Increase,DEX Increase,Flat,91,300,6,0,0.0,0,0.0,0
12,Hat,Potential,Rare,Non prime,INT Increase,INT Increase,Flat,0,20,1,0,0.0,0,0.0,0
13,Hat,Potential,Rare,Non prime,INT Increase,INT Increase,Flat,21,40,2,0,0.0,0,0.0,0
14,Hat,Potential,Rare,Non prime,INT Increase,INT Increase,Flat,41,50,3,0,0.0,0,0.0,0
15,Hat,Potential,Rare,Non prime,INT Increase,INT Increase,Flat,51,70,4,0,0.0,0,0.0,0
16,Hat,Potential,Rare,Non prime,INT Increase,INT Increase,Flat,71,90,5,0,0.0,0,0.0,0
17,Hat,Potential,Rare,Non prime,INT Increase,INT Increase,Flat,91,300,6,0,0.0,0,0.0,0
18,Hat,Potential,Rare,Non prime,LUK Increase,LUK Increase,Flat,0,20,1,0,0.0,0,0.0,0
19,Hat,Potential,Rare,Non prime,LUK Increase,LUK Increase,Flat,21,40,2,0,0.0,0,0.0,0
20,Hat,Potential,Rare,Non prime,LUK Increase,LUK Increase,Flat,41,50,3,0,0.0,0,0.0,0
21,Hat,Potential,Rare,Non prime,LUK Increase,LUK Increase,Flat,51,70,4,0,0.0,0,0.0,0
22,Hat,Potential,Rare,Non prime,LUK Increase,LUK Increase,Flat,71,90,5,0,0.0,0,0.0,0
23,Hat,Potential,Rare,Non prime,LUK Increase,LUK Increase,Flat,91,300,6,0,0.0,0,0.0,0
24,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,0,10,5,0,0.0,0,0.0,0
25,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,11,20,10,0,0.0,0,0.0,0
26,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,21,30,15,0,0.0,0,0.0,0
27,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,31,40,20,0,0.0,0,0.0,0
28,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,41,50,25,0,0.0,0,0.0,0
29,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,51,60,30,0,0.0,0,0.0,0
30,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,61,70,35,0,0.0,0,0.0,0
31,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,71,80,40,0,0.0,0,0.0,0
32,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,81,90,45,0,0.0,0,0.0,0
33,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,91,100,50,0,0.0,0,0.0,0
34,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,101,110,55,0,0.0,0,0.0,0
35,Hat,Potential,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,111,300,60,0,0.0,0,0.0,0
36,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,0,10,5,0,0.0,0,0.0,0
37,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,11,20,10,0,0.0,0,0.0,0
38,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,21,30,15,0,0.0,0,0.0,0
39,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,31,40,20,0,0.0,0,0.0,0
40,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,41,50,25,0,0.0,0,0.0,0
41,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,51,60,30,0,0.0,0,0.0,0
42,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,61,70,35,0,0.0,0,0.0,0
43,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,71,80,40,0,0.0,0,0.0,0
44,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,81,90,45,0,0.0,0,0.0,0
45,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,91,100,50,0,0.0,0,0.0,0
46,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,101,110,55,0,0.0,0,0.0,0
47,Hat,Potential,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,111,300,60,0,0.0,0,0.0,0
48,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,0,10,5,0,0.0,0,0.0,0
49,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,11,20,10,0,0.0,0,0.0,0
50,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,21,30,15,0,0.0,0,0.0,0
51,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,31,40,20,0,0.0,0,0.0,0
52,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,41,50,25,0,0.0,0,0.0,0
53,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,51,60,30,0,0.0,0,0.0,0
54,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,61,70,35,0,0.0,0,0.0,0
55,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,71,80,40,0,0.0,0,0.0,0
56,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,81,90,45,0,0.0,0,0.0,0
57,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,91,100,50,0,0.0,0,0.0,0
58,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,101,110,55,0,0.0,0,0.0,0
59,Hat,Potential,Rare,Non prime,DEF Increase,DEF Increase,Flat,111,300,60,0,0.0,0,0.0,0
60,Hat,Potential,Rare,Non prime,10% chance to show rage for 10 seconds when being attacked,Show rage,Flat,0,300,0,10,10.0,0,0.0,0
61,Hat,Potential,Rare,Non prime,10% chance to show happy for 10 seconds when being attacked,Show happy,Flat,0,300,0,10,10.0,0,0.0,0
62,Hat,Potential,Rare,Non prime,10% chance to fall in love for 10 seconds when being attacked,Fall in love,Flat,0,300,0,10,10.0,0,0.0,0
63,Hat,Potential,Rare,Non prime,10% chance to feel deeply moved for 10 seconds when being attacked,Feel deeply moved,Flat,0,300,0,10,10.0,0,0.0,0
64,Hat,Potential,Rare,Non prime,10% chance to show angry for 10 seconds when being attacked,Show angry,Flat,0,300,0,10,10.0,0,0.0,0
65,Hat,Potential,Rare,Prime,STR Increase,STR Increase,Flat,0,20,2,0,0.0,0,0.0,0
66,Hat,Potential,Rare,Prime,STR Increase,STR Increase,Flat,21,40,4,0,0.0,0,0.0,0
67,Hat,Potential,Rare,Prime,STR Increase,STR Increase,Flat,41,50,6,0,0.0,0,0.0,0
