,SFID,MinLvl,MaxLvl,Visible DEF,Visible Stats,Visible ATT
0,1,0,77,5,1.0,0.0
1,1,78,87,5,2.0,0.0
2,1,88,97,5,4.0,0.0
3,1,98,107,5,7.0,0.0
4,1,108,117,5,9.0,0.0
5,1,118,127,5,12.0,0.0
6,1,128,137,5,14.0,0.0
7,1,138,149,5,17.0,0.0
8,1,150,300,5,19.0,0.0
9,2,0,77,5,2.0,0.0
10,2,78,87,5,3.0,0.0
11,2,88,97,5,5.0,0.0
12,2,98,107,5,8.0,0.0
13,2,108,117,5,10.0,0.0
14,2,118,127,5,13.0,0.0
15,2,128,137,5,15.0,0.0
16,2,138,149,5,18.0,0.0
17,2,150,300,5,20.0,0.0
18,3,0,77,5,4.0,0.0
19,3,78,87,5,5.0,0.0
20,3,88,97,5,7.0,0.0
21,3,98,107,5,10.0,0.0
22,3,108,117,5,12.0,0.0
23,3,118,127,5,15.0,0.0
24,3,128,137,5,17.0,0.0
25,3,138,149,5,20.0,0.0
26,3,150,300,5,22.0,0.0
27,4,95,97,5,10.0,0.0
28,4,98,107,5,13.0,0.0
29,4,108,117,5,15.0,0.0
30,4,118,127,5,18.0,0.0
31,4,128,137,5,20.0,0.0
32,4,138,149,5,23.0,0.0
33,4,150,300,5,25.0,0.0
34,5,95,97,5,14.0,0.0
35,5,98,107,5,17.0,0.0
36,5,108,117,5,19.0,0.0
37,5,118,127,5,22.0,0.0
38,5,128,137,5,24.0,0.0
39,5,138,149,5,27.0,0.0
40,5,150,300,5,29.0,0.0
41,6,108,117,5,0.0,5.0
42,6,118,127,5,0.0,6.0
43,6,128,137,5,0.0,7.0
44,6,138,149,5,0.0,8.0
45,6,150,300,5,0.0,9.0
46,7,108,117,5,0.0,6.0
47,7,118,127,5,0.0,7.0
48,7,128,137,5,0.0,8.0
49,7,138,149,5,0.0,9.0
50,7,150,300,5,0.0,10.0
51,8,108,117,5,0.0,7.0
52,8,118,127,5,0.0,8.0
53,8,128,137,5,0.0,9.0
54,8,138,149,5,0.0,10.0
55,8,150,300,5,0.0,11.0
56,9,118,127,5,0.0,9.0
57,9,128,137,5,0.0,10.0
58,9,138,149,5,0.0,11.0
59,9,150,300,5,0.0,12.0
60,10,118,127,5,0.0,10.0
61,10,128,137,5,0.0,11.0
62,10,138,149,5,0.0,12.0
63,10,150,300,5,0.0,13.0
64,11,128,137,5,0.0,13.0
65,11,138,149,5,0.0,14.0
66,11,150,300,5,0.0,15.0
67,12,128,137,5,0.0,15.0
68,12,138,149,5,0.0,16.0
69,12,150,300,5,0.0,17.0
70,13,138,149,5,0.0,18.0
71,13,150,300,5,0.0,19.0
72,14,138,149,5,0.0,20.0
73,14,150,300,5,0.0,21.0
74,15,138,149,5,0.0,22.0
75,15,150,300,5,0.0,23.0
