,Unnamed: 0,EquipSlot,EquipSet,EquipName,WeaponType,EquipLevel,STR,DEX,INT,LUK,Max HP,Defense,Weapon Attack,Magic Attack,Attack Speed,Boss Damage,Ignored Enemy Defense,Movement Speed,Knockback Chance,Number of Upgrades,Equipment Set
0,0,Weapon,Lapis,Lapis Axe,One Handed Axe,105,1,1,0,0,0,0,101,0,Normal,0,0,0,0,7,None
1,1,Weapon,Lapis,Lapis Type 9,Heavy Sword,200,100,100,0,0,0,200,297,0,Slow,30,20,0,0,8,None
2,2,Weapon,Lapis,Lapis Type 8,Heavy Sword,180,60,60,0,0,0,160,207,0,Slow,30,10,0,0,8,None
3,3,Weapon,Lapis,Lapis Type 7,Heavy Sword,170,40,40,0,0,0,150,173,0,Slow,30,10,0,0,8,None
4,4,Weapon,Lapis,Lapis Type 6,Heavy Sword,150,35,20,0,0,0,130,139,0,Slow,0,0,0,0,8,None
5,5,Weapon,Genesis,Genesis Cane,Cane,200,0,150,0,150,0,0,326,0,Fast,30,20,0,0,8,Lucky
6,6,Weapon,Arcane,Arcane Umbra Cane,Cane,200,0,100,0,100,0,0,283,0,Fast,30,20,0,0,8,Arcane Umbra
7,7,Weapon,AbsoLab,AbsoLab Forked Cane,Cane,160,0,60,0,60,0,0,197,0,Fast,30,10,0,0,8,AbsoLab
8,8,Weapon,Genesis,Genesis Hammer,One Handed Blunt Weapon,200,150,150,0,0,0,0,326,0,Fast,30,20,0,0,8,Lucky
9,9,Weapon,Fafnir,Fafnir Guardian Hammer,One Handed Blunt Weapon,150,40,40,0,0,0,0,164,0,Fast,30,10,0,0,8,Root Abyss
10,10,Weapon,Arcane,Arcane Umbra Hammer,One Handed Blunt Weapon,200,100,100,0,0,0,0,283,0,Fast,30,20,0,0,8,Arcane Umbra
11,11,Weapon,AbsoLab,AbsoLab Bit Hammer,One Handed Blunt Weapon,160,60,60,0,0,0,0,197,0,Fast,30,10,0,0,8,AbsoLab
12,12,Weapon,Utgard,Utgard Hair,One Handed Blunt Weapon,140,0,0,0,0,0,0,118,0,Fast,0,0,0,0,8,8th
13,13,Weapon,Lapis,Dragonic Lapis Hammer,One Handed Blunt Weapon,110,5,5,0,0,100,0,111,0,Normal,0,0,0,0,8,None
14,14,Weapon,Fafnir,Fafnir Ciel Claire,Cane,150,0,40,0,40,0,0,164,0,Fast,30,10,0,0,8,Root Abyss
15,15,Weapon,Lapis,Lapis Hammer,One Handed Blunt Weapon,105,1,1,0,0,0,0,101,0,Normal,0,0,0,0,7,None
16,16,Weapon,Genesis,Genesis Chain,Chain,200,0,150,0,150,0,0,318,0,Fast,30,20,0,0,8,Lucky
17,17,Weapon,Arcane,Arcane Umbra Chain,Chain,200,0,100,0,100,0,0,276,0,Fast,30,20,0,0,8,Arcane Umbra
18,18,Weapon,AbsoLab,AbsoLab Chain,Chain,160,0,60,0,60,0,0,192,0,Fast,30,10,0,0,8,AbsoLab
19,19,Weapon,Fafnir,Fafnir Chain,Chain,150,0,40,0,40,0,0,160,0,Fast,30,10,0,0,8,Root Abyss
20,20,Weapon,Genesis,Genesis Bladecaster,Bladecaster,200,150,150,0,0,0,0,340,0,Fast,30,20,0,0,8,Lucky
21,21,Weapon,Utgard,Utgard Cane,Cane,140,0,0,0,0,0,0,118,0,Fast,0,0,0,0,8,8th
22,22,Weapon,Arcane,Arcane Umbra Bladecaster,Bladecaster,200,100,100,0,0,0,0,295,0,Fast,30,20,0,0,8,Arcane Umbra
23,23,Weapon,AbsoLab,AbsoLab Bladecaster,Bladecaster,160,60,60,0,0,0,0,205,0,Fast,30,10,0,0,8,AbsoLab
24,24,Weapon,Fafnir,Fafnir Mercy,Bladecaster,150,40,40,0,0,0,0,171,0,Fast,30,10,0,0,8,Root Abyss
25,25,Weapon,Lapis,Lapis Type 5,Heavy Sword,140,8,4,0,0,0,120,121,0,Slow,0,0,0,0,8,None
26,26,Weapon,Lapis,Lapis Type 4,Heavy Sword,130,0,0,0,0,0,110,114,0,Slow,0,0,0,0,7,None
27,27,Weapon,Lapis,Lapis Type 3,Heavy Sword,120,0,0,0,0,0,100,107,0,Slow,0,0,0,0,7,None
28,28,Weapon,Lapis,Lapis Type 2,Heavy Sword,110,0,0,0,0,0,90,105,0,Slow,0,0,0,0,7,None
29,29,Weapon,Utgard,Utgard Chain,Chain,140,0,0,0,0,0,0,115,0,Fast,0,0,0,0,8,8th
30,30,Weapon,Genesis,Genesis Desperado,Desperado,200,150,0,0,0,"2,800",0,340,0,Fast,30,20,0,0,8,Lucky
31,31,Weapon,Arcane,Arcane Umbra Desperado,Desperado,200,100,100,0,0,"2,500",0,295,0,Normal,30,20,0,0,8,Arcane Umbra
32,32,Weapon,AbsoLab,AbsoLab Desperado,Desperado,160,60,0,0,0,"2,250",0,205,0,Normal,30,10,0,0,8,AbsoLab
33,33,Weapon,Fafnir,Fafnir Death Bringer,Desperado,150,40,0,0,0,"2,000",0,171,0,Normal,30,10,0,0,8,Root Abyss
