,EquipSlot,Grade,Prime,DisplayStat,Stat Increase,StatT,Item Level,Initial,In-game cube,Cash cube,Chance,Duration,Stat value
0,Hat,Rare,Non prime,STR Increase,STR Increase,Flat,0,6.25,6.25,14.2857,,,
1,Hat,Rare,Non prime,DEX Increase,DEX Increase,Flat,0,6.25,6.25,14.2857,,,
2,Hat,Rare,Non prime,INT Increase,INT Increase,Flat,0,6.25,6.25,14.2857,,,
3,Hat,Rare,Non prime,LUK Increase,LUK Increase,Flat,0,6.25,6.25,14.2857,,,
4,Hat,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,0,9.375,9.375,14.2857,,,
5,Hat,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,0,9.375,9.375,14.2857,,,
6,Hat,Rare,Non prime,DEF Increase,DEF Increase,Flat,0,9.375,9.375,14.2857,,,
7,Hat,Rare,Non prime,10% chance to show rage for 10 seconds when being attacked,show rage,Perc,0,9.375,9.375,0,10.0,10.0,
8,Hat,Rare,Non prime,10% chance to show happy for 10 seconds when being attacked,show happy,Perc,0,9.375,9.375,0,10.0,10.0,
9,Hat,Rare,Non prime,10% chance to fall in love for 10 seconds when being attacked,fall in love,Perc,0,9.375,9.375,0,10.0,10.0,
10,Hat,Rare,Non prime,10% chance to feel deeply moved for 10 seconds when being attacked,feel deeply moved,Perc,0,9.375,9.375,0,10.0,10.0,
11,Hat,Rare,Non prime,10% chance to show angry for 10 seconds when being attacked,show angry,Perc,0,9.375,9.375,0,10.0,10.0,
12,Hat,Rare,Prime,STR Increase,STR Increase,Flat,0,5.5555,5.5555,7.5,,,
13,Hat,Rare,Prime,DEX Increase,DEX Increase,Flat,0,5.5555,5.5555,7.5,,,
14,Hat,Rare,Prime,INT Increase,INT Increase,Flat,0,5.5555,5.5555,7.5,,,
15,Hat,Rare,Prime,LUK Increase,LUK Increase,Flat,0,5.5555,5.5555,7.5,,,
16,Hat,Rare,Prime,MaxHP Increase,MaxHP Increase,Flat,0,8.3333,8.3333,7.5,,,
17,Hat,Rare,Prime,MaxMP Increase,MaxMP Increase,Flat,0,8.3333,8.3333,7.5,,,
18,Hat,Rare,Prime,DEF Increase,DEF Increase,Flat,0,8.3333,8.3333,5,,,
19,Hat,Rare,Prime,STR% Increase,STR Increase,Perc,0,5.5555,5.5555,7.5,,,
20,Hat,Rare,Prime,DEX% Increase,DEX Increase,Perc,0,5.5555,5.5555,7.5,,,
21,Hat,Rare,Prime,INT% Increase,INT Increase,Perc,0,5.5555,5.5555,7.5,,,
22,Hat,Rare,Prime,LUK% Increase,LUK Increase,Perc,0,5.5555,5.5555,7.5,,,
23,Hat,Rare,Prime,MaxHP% Increase,MaxHP Increase,Perc,0,8.3333,8.3333,5,,,
24,Hat,Rare,Prime,MaxMP% Increase,MaxMP Increase,Perc,0,8.3333,8.3333,5,,,
25,Hat,Rare,Prime,DEF% Increase,DEF Increase,Perc,0,8.3333,8.3333,5,,,
26,Hat,Rare,Prime,All Stats Increase,All Stats Increase,Flat,0,5.5555,5.5555,5,,,
27,Hat,Epic,Prime,STR% Increase,STR Increase,Perc,0,7.4074,7.4074,14.2857,,,
28,Hat,Epic,Prime,DEX% Increase,DEX Increase,Perc,0,7.4074,7.4074,14.2857,,,
29,Hat,Epic,Prime,INT% Increase,INT Increase,Perc,0,7.4074,7.4074,14.2857,,,
30,Hat,Epic,Prime,LUK% Increase,LUK Increase,Perc,0,7.4074,7.4074,14.2857,,,
31,Hat,Epic,Prime,MaxHP% Increase,MaxHP Increase,Perc,0,11.1111,11.1111,14.2857,,,
32,Hat,Epic,Prime,MaxMP% Increase,MaxMP Increase,Perc,0,11.1111,11.1111,14.2857,,,
33,Hat,Epic,Prime,DEF% Increase,DEF Increase,Perc,0,11.1111,11.1111,8.5714,,,
34,Hat,Epic,Prime,All Stats% Increase,All Stats Increase,Perc,0,3.7037,3.7037,5.7142,,,
35,Hat,Epic,Prime,20% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,11.1111,11.1111,0,20.0,,
36,Hat,Epic,Prime,20% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,11.1111,11.1111,0,20.0,,
37,Hat,Epic,Prime,30% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,11.1111,11.1111,0,30.0,,
38,Hat,Unique,Prime,STR% Increase,STR Increase,Perc,70,6.8965,6.8965,8.9285,,,
39,Hat,Unique,Prime,DEX% Increase,DEX Increase,Perc,70,6.8965,6.8965,8.9285,,,
40,Hat,Unique,Prime,INT% Increase,INT Increase,Perc,70,6.8965,6.8965,8.9285,,,
41,Hat,Unique,Prime,LUK% Increase,LUK Increase,Perc,70,6.8965,6.8965,8.9285,,,
42,Hat,Unique,Prime,MaxHP% Increase,MaxHP Increase,Perc,70,10.3448,10.3448,10.7142,,,
43,Hat,Unique,Prime,MaxMP% Increase,MaxMP Increase,Perc,70,10.3448,10.3448,10.7142,,,
44,Hat,Unique,Prime,DEF% Increase,DEF Increase,Perc,70,10.3448,10.3448,7.1428,,,
45,Hat,Unique,Prime,All Stats% Increase,All Stats Increase,Perc,70,3.4482,3.4482,7.1428,,,
46,Hat,Unique,Prime,5% chance to ignore 20% of monster damage dealt,ignore 20 of monster damage dealt,Perc,70,10.3448,10.3448,7.1428,5.0,,
47,Hat,Unique,Prime,5% chance to ignore 40% of monster damage dealt,ignore 40 of monster damage dealt,Perc,70,10.3448,10.3448,7.1428,5.0,,
48,Hat,Unique,Prime,Skills and Potion HP Recovery% Increase,Skills and Potion HP Recovery Increase,Perc,70,10.3448,10.3448,7.1428,,,
49,Hat,Unique,Prime,Decent Mystic Door enabled,Decent Mystic Door enabled,Flat,70,6.8965,6.8965,7.1428,,,
50,Hat,Legendary,Prime,STR% Increase,STR Increase,Perc,120,5.5555,5.5555,8.8888,,,
51,Hat,Legendary,Prime,DEX% Increase,DEX Increase,Perc,120,5.5555,5.5555,8.8888,,,
52,Hat,Legendary,Prime,INT% Increase,INT Increase,Perc,120,5.5555,5.5555,8.8888,,,
53,Hat,Legendary,Prime,LUK% Increase,LUK Increase,Perc,120,5.5555,5.5555,8.8888,,,
54,Hat,Legendary,Prime,MaxHP% Increase,MaxHP Increase,Perc,120,8.3333,8.3333,8.8888,,,
55,Hat,Legendary,Prime,MaxMP% Increase,MaxMP Increase,Perc,120,8.3333,8.3333,8.8888,,,
56,Hat,Legendary,Prime,DEF% Increase,DEF Increase,Perc,120,8.3333,8.3333,8.8888,,,
57,Hat,Legendary,Prime,All Stats% Increase,All Stats Increase,Perc,120,5.5555,5.5555,6.6666,,,
58,Hat,Legendary,Prime,10% chance to ignore 20% of monster damage dealt,ignore 20 of monster damage dealt,Perc,120,8.3333,8.3333,6.6666,10.0,,
59,Hat,Legendary,Prime,10% chance to ignore 40% of monster damage dealt,ignore 40 of monster damage dealt,Perc,120,8.3333,8.3333,6.6666,10.0,,
60,Hat,Legendary,Prime,Skills and Potion HP Recovery% Increase,Skills and Potion HP Recovery Increase,Perc,120,8.3333,8.3333,0,,,
61,Hat,Legendary,Prime,Skill Cooldown -1 second,Skill Cooldown,Flat,120,8.3333,8.3333,6.6666,,1.0,
62,Hat,Legendary,Prime,Skill Cooldown -2 seconds,Skill Cooldown,Flat,120,5.5555,5.5555,4.4444,,2.0,
63,Hat,Legendary,Prime,Decent Advanced Bless enabled,Decent Advanced Bless enabled,Flat,120,8.3333,8.3333,6.6666,,,
64,Top,Rare,Non prime,STR Increase,STR Increase,Flat,0,11.7647,11.7647,14.2857,,,
65,Top,Rare,Non prime,DEX Increase,DEX Increase,Flat,0,11.7647,11.7647,14.2857,,,
66,Top,Rare,Non prime,INT Increase,INT Increase,Flat,0,11.7647,11.7647,14.2857,,,
67,Top,Rare,Non prime,LUK Increase,LUK Increase,Flat,0,11.7647,11.7647,14.2857,,,
68,Top,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,0,17.647,17.647,14.2857,,,
69,Top,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,0,17.647,17.647,14.2857,,,
70,Top,Rare,Non prime,DEF Increase,DEF Increase,Flat,0,17.647,17.647,14.2857,,,
71,Overall,Rare,Non prime,STR Increase,STR Increase,Flat,0,11.7647,11.7647,14.2857,,,
72,Overall,Rare,Non prime,DEX Increase,DEX Increase,Flat,0,11.7647,11.7647,14.2857,,,
73,Overall,Rare,Non prime,INT Increase,INT Increase,Flat,0,11.7647,11.7647,14.2857,,,
74,Overall,Rare,Non prime,LUK Increase,LUK Increase,Flat,0,11.7647,11.7647,14.2857,,,
75,Overall,Rare,Non prime,MaxHP Increase,MaxHP Increase,Flat,0,17.647,17.647,14.2857,,,
76,Overall,Rare,Non prime,MaxMP Increase,MaxMP Increase,Flat,0,17.647,17.647,14.2857,,,
77,Overall,Rare,Non prime,DEF Increase,DEF Increase,Flat,0,17.647,17.647,14.2857,,,
78,Top,Rare,Prime,STR Increase,STR Increase,Flat,0,5.5555,5.5555,7.5,,,
79,Top,Rare,Prime,DEX Increase,DEX Increase,Flat,0,5.5555,5.5555,7.5,,,
80,Top,Rare,Prime,INT Increase,INT Increase,Flat,0,5.5555,5.5555,7.5,,,
81,Top,Rare,Prime,LUK Increase,LUK Increase,Flat,0,5.5555,5.5555,7.5,,,
82,Top,Rare,Prime,MaxHP Increase,MaxHP Increase,Flat,0,8.3333,8.3333,7.5,,,
83,Top,Rare,Prime,MaxMP Increase,MaxMP Increase,Flat,0,8.3333,8.3333,7.5,,,
84,Top,Rare,Prime,DEF Increase,DEF Increase,Flat,0,8.3333,8.3333,5,,,
85,Top,Rare,Prime,STR% Increase,STR Increase,Perc,0,5.5555,5.5555,7.5,,,
86,Top,Rare,Prime,DEX% Increase,DEX Increase,Perc,0,5.5555,5.5555,7.5,,,
87,Top,Rare,Prime,INT% Increase,INT Increase,Perc,0,5.5555,5.5555,7.5,,,
88,Top,Rare,Prime,LUK% Increase,LUK Increase,Perc,0,5.5555,5.5555,7.5,,,
89,Top,Rare,Prime,MaxHP% Increase,MaxHP Increase,Perc,0,8.3333,8.3333,5,,,
90,Top,Rare,Prime,MaxMP% Increase,MaxMP Increase,Perc,0,8.3333,8.3333,5,,,
91,Top,Rare,Prime,DEF% Increase,DEF Increase,Perc,0,8.3333,8.3333,5,,,
92,Top,Rare,Prime,All Stats Increase,All Stats Increase,Flat,0,5.5555,5.5555,5,,,
93,Overall,Rare,Prime,STR Increase,STR Increase,Flat,0,5.5555,5.5555,7.5,,,
94,Overall,Rare,Prime,DEX Increase,DEX Increase,Flat,0,5.5555,5.5555,7.5,,,
95,Overall,Rare,Prime,INT Increase,INT Increase,Flat,0,5.5555,5.5555,7.5,,,
96,Overall,Rare,Prime,LUK Increase,LUK Increase,Flat,0,5.5555,5.5555,7.5,,,
97,Overall,Rare,Prime,MaxHP Increase,MaxHP Increase,Flat,0,8.3333,8.3333,7.5,,,
98,Overall,Rare,Prime,MaxMP Increase,MaxMP Increase,Flat,0,8.3333,8.3333,7.5,,,
99,Overall,Rare,Prime,DEF Increase,DEF Increase,Flat,0,8.3333,8.3333,5,,,
100,Overall,Rare,Prime,STR% Increase,STR Increase,Perc,0,5.5555,5.5555,7.5,,,
101,Overall,Rare,Prime,DEX% Increase,DEX Increase,Perc,0,5.5555,5.5555,7.5,,,
102,Overall,Rare,Prime,INT% Increase,INT Increase,Perc,0,5.5555,5.5555,7.5,,,
103,Overall,Rare,Prime,LUK% Increase,LUK Increase,Perc,0,5.5555,5.5555,7.5,,,
104,Overall,Rare,Prime,MaxHP% Increase,MaxHP Increase,Perc,0,8.3333,8.3333,5,,,
105,Overall,Rare,Prime,MaxMP% Increase,MaxMP Increase,Perc,0,8.3333,8.3333,5,,,
106,Overall,Rare,Prime,DEF% Increase,DEF Increase,Perc,0,8.3333,8.3333,5,,,
107,Overall,Rare,Prime,All Stats Increase,All Stats Increase,Flat,0,5.5555,5.5555,5,,,
108,Top,Epic,Prime,STR% Increase,STR Increase,Perc,0,6.6666,6.6666,13.1578,,,
109,Top,Epic,Prime,DEX% Increase,DEX Increase,Perc,0,6.6666,6.6666,13.1578,,,
110,Top,Epic,Prime,INT% Increase,INT Increase,Perc,0,6.6666,6.6666,13.1578,,,
111,Top,Epic,Prime,LUK% Increase,LUK Increase,Perc,0,6.6666,6.6666,13.1578,,,
112,Top,Epic,Prime,MaxHP% Increase,MaxHP Increase,Perc,0,10,10,13.1578,,,
113,Top,Epic,Prime,MaxMP% Increase,MaxMP Increase,Perc,0,10,10,13.1578,,,
114,Top,Epic,Prime,DEF% Increase,DEF Increase,Perc,0,10,10,7.8947,,,
115,Top,Epic,Prime,All Stats% Increase,All Stats Increase,Perc,0,3.3333,3.3333,5.2631,,,
116,Top,Epic,Prime,20% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,10,10,0,20.0,,
117,Top,Epic,Prime,20% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,10,10,0,20.0,,
118,Top,Epic,Prime,30% chance to ignore monster damage dealt,ignore monster damage dealt,Perc,0,10,10,0,30.0,,
119,Top,Epic,Prime,Invincibility Time +1 second,Invincibility Time,Flat,0,10,10,7.8947,,1.0,1.0
120,Overall,Epic,Prime,STR% Increase,STR Increase,Perc,0,6.6666,6.6666,13.1578,,,
121,Overall,Epic,Prime,DEX% Increase,DEX Increase,Perc,0,6.6666,6.6666,13.1578,,,
122,Overall,Epic,Prime,INT% Increase,INT Increase,Perc,0,6.6666,6.6666,13.1578,,,
123,Overall,Epic,Prime,LUK% Increase,LUK Increase,Perc,0,6.6666,6.6666,13.1578,,,
124,Overall,Epic,Prime,MaxHP% Increase,MaxHP Increase,Perc,0,10,10,13.1578,,,
125,Overall,Epic,Prime,MaxMP% Increase,MaxMP Increase,Perc,0,10,10,13.1578,,,
126,Overall,Epic,Prime,DEF% Increase,DEF Increase,Perc,0,10,10,7.8947,,,
127,Overall,Epic,Prime,All Stats% Increase,All Stats Increase,Perc,0,3.3333,3.3333,5.2631,,,
