Types h5 p dl table: 100
StatIncrease => 
	split('chance to') => get Chance
	split('seconds') => get Duration



p = check for 'level requirement => get MinLvl, MaxLvl

2.1	Hat
2.1.1	Rare (Non-prime)
2.1.1.1	STR Increase
2.1.1.2	DEX Increase
2.1.1.3	INT Increase
2.1.1.4	LUK Increase
2.1.1.5	MaxHP Increase
2.1.1.6	MaxMP Increase
2.1.1.7	DEF Increase
2.1.1.8	10% chance to show rage for 10 seconds when being attacked
2.1.1.9	10% chance to show happy for 10 seconds when being attacked
2.1.1.10	10% chance to fall in love for 10 seconds when being attacked
2.1.1.11	10% chance to feel deeply moved for 10 seconds when being attacked
2.1.1.12	10% chance to show angry for 10 seconds when being attacked
2.1.2	Rare (Prime) / Epic (Non-prime)
2.1.2.1	STR Increase
2.1.2.2	DEX Increase
2.1.2.3	INT Increase
2.1.2.4	LUK Increase
2.1.2.5	MaxHP Increase
2.1.2.6	MaxMP Increase
2.1.2.7	DEF Increase
2.1.2.8	STR % Increase
2.1.2.9	DEX % Increase
2.1.2.10	INT % Increase
2.1.2.11	LUK % Increase
2.1.2.12	MaxHP % Increase
2.1.2.13	MaxMP % Increase
2.1.2.14	DEF % Increase
2.1.2.15	All Stats Increase
2.1.3	Epic (Prime) / Unique (Non-prime)
2.1.3.1	STR % Increase
2.1.3.2	DEX % Increase
2.1.3.3	INT % Increase
2.1.3.4	LUK % Increase
2.1.3.5	MaxHP % Increase
2.1.3.6	MaxMP % Increase
2.1.3.7	DEF % Increase
2.1.3.8	All Stats % Increase
2.1.3.9	20% chance to ignore monster damage dealt
2.1.3.10	20% chance to ignore monster damage dealt
2.1.3.11	30% chance to ignore monster damage dealt
2.1.4	Unique (Prime) / Legendary (Non-prime)
2.1.4.1	STR % Increase
2.1.4.2	DEX % Increase
2.1.4.3	INT % Increase
2.1.4.4	LUK % Increase
2.1.4.5	MaxHP % Increase
2.1.4.6	MaxMP % Increase
2.1.4.7	DEF % Increase
2.1.4.8	All Stats % Increase
2.1.4.9	5% chance to ignore 20% of monster damage dealt
2.1.4.10	5% chance to ignore 40% of monster damage dealt
2.1.4.11	Skills and Potion HP Recovery % Increase
2.1.4.12	Decent Mystic Door enabled
2.1.5	Legendary (Prime)
2.1.5.1	STR % Increase
2.1.5.2	DEX % Increase
2.1.5.3	INT % Increase
2.1.5.4	LUK % Increase
2.1.5.5	MaxHP % Increase
2.1.5.6	MaxMP % Increase
2.1.5.7	DEF % Increase
2.1.5.8	All Stats % Increase
2.1.5.9	10% chance to ignore 20% of monster damage dealt
2.1.5.10	10% chance to ignore 40% of monster damage dealt
2.1.5.11	Skills and Potion HP Recovery % Increase
2.1.5.12	Skill Cooldown -1 second
2.1.5.13	Skill Cooldown -2 seconds
2.1.5.14	Decent Advanced Bless enabled
2.2	Top and Overall
2.2.1	Rare (Non-prime)
2.2.1.1	STR Increase
2.2.1.2	DEX Increase
2.2.1.3	INT Increase
2.2.1.4	LUK Increase
2.2.1.5	MaxHP Increase
2.2.1.6	MaxMP Increase
2.2.1.7	DEF Increase
2.2.2	Rare (Prime) / Epic (Non-prime)
2.2.2.1	STR Increase
2.2.2.2	DEX Increase
2.2.2.3	INT Increase
2.2.2.4	LUK Increase
2.2.2.5	MaxHP Increase
2.2.2.6	MaxMP Increase
2.2.2.7	DEF Increase
2.2.2.8	STR % Increase
2.2.2.9	DEX % Increase
2.2.2.10	INT % Increase
